Date;Heure;Dept;Com;Adresse;Code postal;Carr;Segm;Lieu 1 NomV;Lieu 2 NomV;Véhicule 1 Cadmin;Véhicule 1 LVeh;Véhicle 2 CAdmin;Véhicule 2 LVeh;Véhicule 3 CAdmin;Véhicule 3 LVeh;Usager 1 CatU;Usager 1 Grav;Usager 1 Lveh;Usager 2 CatU;Usager 2 Grav;Usager 2 Lveh;Usager 3 CatU;Usager 3 Grav;Usager 3 Lveh;Usager 4 CatU;Usager 4 Grav;Usager 4 Lveh;Coordonnées
2012-03-10;20:30;75;118;PORTE DE LA CHAPELLE;75118;;;BD PERIPHERIQUE INTERIEUR;;VU;A;VL;B;VL;C;Cond;BL;B;Cond;Indem;A;Cond;Indem;C;;;;48.900225, 2.358635
2012-02-22;12:00;75;118;ECHANGEUR CHAPELLE;75118;;;ECH CHAPELLE-BI/18;;VL;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.894332, 2.359512
2013-09-26;02:55;75;118;BOULEVARD PERIPHERIQUE;75118;;;BD PERIPHERIQUE EXTERIEUR;;VU;Z;;;;;Piéto;Tué;Z;;;;;;;;;;48.898154, 2.348822
2012-11-09;17:10;75;118;ECHANGEUR CHAPELLE;75118;;;ECH CHAPELLE-BM/18;;VL;A;;;;;Cond;BL;A;;;;;;;;;;48.894332, 2.359512
2013-06-09;20:35;75;118;18, BOULEVARD DE LA CHAP;75118;;;BOULEVARD DE LA CHAPELLE;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;;48.884856, 2.341876
2012-04-02;18:30;75;118;PORTE D AUBERVILLIERS;75118;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;Cond;Indem;C;48.900423, 2.370112
2012-05-31;09:00;75;118;PORTE D AUBERVILLIERS;75118;;;BD PERIPHERIQUE EXTERIEUR;;Moto50-125;A;VU;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.900423, 2.370112
2012-11-14;14:25;75;118;BPE AUBERVILLIERS CHAPEL;75118;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;Moto>125;B;;;Cond;BL;B;Cond;Indem;A;;;;;;;48.891519, 2.368658
2013-06-27;18:40;75;118;PORTE D AUBERVILLIERS;75118;;;BD PERIPHERIQUE INTERIEUR;;VL;A;Moto>125;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.900423, 2.370112
2013-09-26;21:40;75;119;27, AVENUE SIMON BOLIVAR;75119;1_75119_10000;;AVENUE SIMON BOLIVAR;SQUARE BOLIVAR;Scoo<=50;A;;;;;Cond;BL;A;;;;;;;;;;48.875139, 2.382242
2012-02-23;18:10;75;119;1, RUE REBEVAL;75119;1_75119_10063;;RUE REBEVAL;RUE DE BELLEVILLE;Cyclo;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;;48.874102, 2.375365
2012-06-23;19:15;75;119;39, RUE DE L OURCQ;75119;1_75119_10108;;RUE DE L OURCQ;RUE DE THIONVILLE;VL;A;Cyclo;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.889429, 2.383533
2013-06-06;19:30;75;119;145, AVENUE JEAN JAURES;75119;1_75119_10183;;AVENUE JEAN JAURES;RUE DE L OURCQ;Bicy;A;VL;Z;;;Cond;BL;A;;;;;;;;;;48.886881, 2.385214
2013-11-15;09:15;75;119;141, AVENUE JEAN JAURES;75119;1_75119_10183;;AVENUE JEAN JAURES;RUE DE L OURCQ;Cyclo;A;Bicy;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.886624, 2.384235
2012-07-24;18:03;75;119;2, AVENUE SIMON BOLIVAR;75119;1_75119_10227;;AVENUE SIMON BOLIVAR;RUE DE BELLEVILLE;Scoo50-125;Z;;;;;Piéto;BL;Z;;;;;;;;;;48.873976, 2.385307
2013-03-30;11:50;75;113;PORTE D ITALIE;75113;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;A;Cond;Indem;B;Pass;BL;B;Cond;Indem;C;48.817186, 2.360162
2012-03-03;19:00;75;113;PORTE D IVRY;75113;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;VL;C;Cond;BL;A;Cond;Indem;B;Pass;BL;B;Cond;BL;C;48.82072, 2.370913
2013-02-03;20:00;75;113;PORTE D IVRY;75113;;;BD PERIPHERIQUE EXTERIEUR;;VL;A;VL;B;VL;C;Cond;Indem;A;Cond;BL;B;Cond;Indem;C;;;;48.82072, 2.370913
2012-03-05;18:25;75;113;AVENUE DE LA PORTE D IVR;75113;;;ECH IVRY-DO/13;;VL;A;VL;B;;;Cond;BL;A;Cond;BL;B;;;;;;;48.82072, 2.370913
2013-11-14;12:45;75;113;PORTE D IVRY;75113;;;BD PERIPHERIQUE INTERIEUR;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;;48.82072, 2.370913
2013-11-12;09:45;75;113;BD IVRY ITALIE;75113;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;PL<=7,5;B;VL;C;Cond;BL;A;Cond;Indem;B;Cond;Indem;C;;;;48.82418, 2.355041
2013-10-31;08:25;75;113;20, BOULEVARD MASSENA;75113;;;BOULEVARD MASSENA;;Scoo50-125;A;;;;;Cond;BL;A;;;;;;;;;;48.823429, 2.37432
